Title,Price,Link,Colors,Image Path
Laguna 83.46'' Upholstered Sofa,$840,https://www.allmodern.com/furniture/pdp/laguna-83-upholstered-sofa-a000189503.html,", , Ash Gray Performance Velvet, Burnt Umber Polyester Blend, Cream Polyester Blend, Dust Navy Fine Textured Boucle, Future Cream Performance Velvet",Imgs/Laguna+83.46''+Upholstered+Sofa.jpg
Atla 83.75'' Upholstered Sofa,"$1,799",https://www.allmodern.com/furniture/pdp/atla-8375-upholstered-sofa-a001070980.html,", , Black Polyester Blend, White Polyester Blend, Gray Polyester Blend",Imgs/Atla+83.75''+Upholstered+Sofa.jpg
Aquarius 85'' Upholstered Sofa,$790,https://www.allmodern.com/furniture/pdp/aquarius-85-upholstered-sofa-ndcu1257.html,", , Cura Light Blue Polyester, Stax Light Grey Performance Velvet, Stax Pistachio Performance Velvet, Stax Rust Performance Velvet",Imgs/Aquarius+85''+Upholstered+Sofa.jpg
Brandt 97'' Upholstered Sofa,"$2,499",https://www.allmodern.com/furniture/pdp/brandt-97-tuxedo-arm-sofa-a001139550.html,", , Dover Crescent White, Orly Natural, Sapphire Navy, Brown",Imgs/Brandt+97''+Upholstered+Sofa.jpg
Adale 74.8'' Upholstered Sofa,"$1,570",https://www.allmodern.com/furniture/pdp/adale-327-upholstered-sofa-a000606194.html,", , Black/Natural, Natural, Walnut/Natural, White/Natural",Imgs/Adale+74.8''+Upholstered+Sofa.jpg
Lobos 87'' Upholstered Sofa,$950,https://www.allmodern.com/furniture/pdp/lobos-84-upholstered-sofa-a000569139.html,", , Burnt Umber Performance Basketweave, Charcoal Performance Basketweave, Cream Polyester Blend, Cute Navy Blue Performance Basketweave, Mushroom  Polyester Blend",Imgs/Lobos+87''+Upholstered+Sofa.jpg
Libra 85.04'' Upholstered Sofa,"$1,000",https://www.allmodern.com/furniture/pdp/libra-84-upholstered-sofa-a000963060.html,", , Beige Textured Performance, Mushroom Textured Performance, Sky Blue Textured Performance, Ash Gray Performance Chenille, Charcoal Performance Chenille",Imgs/Libra+85.04''+Upholstered+Sofa.jpg
Dario 79'' Upholstered Chesterfield Sofa,$740,https://www.allmodern.com/furniture/pdp/dario-79-velvet-rolled-arm-chesterfield-sofa-with-reversible-cushions-a000880228.html,", , Blush Pink Velvet, Emerald Velvet , Platinum Velvet , Rust Velvet , Sand Velvet",Imgs/Dario+79''+Upholstered+Chesterfield+Sofa.jpg
Berger 98'' Upholstered Sofa,"$2,399",https://www.allmodern.com/furniture/pdp/berger-98-flared-arm-sofa-a000445492.html,", , Aldred Silver, Gray",Imgs/Berger+98''+Upholstered+Sofa.jpg
Generation 82'' Upholstered Sofa,$950,https://www.allmodern.com/furniture/pdp/generation-82-upholstered-sofa-a001140720.html,", , Sapphire Dark Grey Performance Velvet, Sapphire Rust Performance Velvet, Sapphire Mouse Grey Performance Velvet",Imgs/Generation+82''+Upholstered+Sofa.jpg
