Title,Link,Sale Price,Regular Price,Image Path,Swatch Colors
"Hampton Modular 4-Piece Sectional (125"")",https://www.westelm.com/products/hampton-4-piece-chaise-sectional-h6867/?pkey=csectionals,"3,516.80","5,596","images/Hampton_Modular_4-Piece_Sectional_(125"").jpg","Performance Coastal Linen, Anchor Gray, Performance Coastal Linen, Pewter, Performance Coastal Linen, Frost Gray, Linen, White"
"Haven 3-Piece L-Shaped Wedge Sectional (115""–139"")",https://www.westelm.com/products/haven-l-shaped-wedge-sectional-h7404/?pkey=csectionals,"3,737.45","6,497","images/Haven_3-Piece_L-Shaped_Wedge_Sectional_(115""–139"").jpg","Performance Yarn Dyed Linen Weave, Alabaster, Performance Yarn Dyed Linen Weave, Pewter, Performance Yarn Dyed Linen Weave, Graphite, Performance Yarn Dyed Linen Weave, Frost Gray"
"Harmony 3-Piece L-Shaped Wedge Sectional (118""–145"")",https://www.westelm.com/products/harmony-l-shaped-wedge-sectional-h7401/?pkey=csectionals,"4,297","11,999","images/Harmony_3-Piece_L-Shaped_Wedge_Sectional_(118""–145"").jpg","Performance Yarn Dyed Linen Weave, Alabaster, Performance Yarn Dyed Linen Weave, Pewter, Performance Yarn Dyed Linen Weave, Graphite, Performance Yarn Dyed Linen Weave, Frost Gray"
"Avalon Channeled 3-Piece L-Shaped Sectional (87""–122"")",https://www.westelm.com/products/avalon-3-piece-l-shaped-sectional-h11985/?pkey=csectionals,"2,207.45","4,897","images/Avalon_Channeled_3-Piece_L-Shaped_Sectional_(87""–122"").jpg","Performance Yarn Dyed Linen Weave, Alabaster, Performance Yarn Dyed Linen Weave, Graphite, Performance Yarn Dyed Linen Weave, Frost Gray, Performance Yarn Dyed Linen Weave, Sand"
"Melbourne 3-Piece L-Shaped Sectional (116""–126"")",https://www.westelm.com/products/melbourne-3-piece-l-shaped-sectional-h11155/?pkey=csectionals,"3,983.95","6,397","images/Melbourne_3-Piece_L-Shaped_Sectional_(116""–126"").jpg","Performance Yarn Dyed Linen Weave, Alabaster, Performance Yarn Dyed Linen Weave, Pewter, Performance Yarn Dyed Linen Weave, Graphite, Performance Yarn Dyed Linen Weave, Frost Gray"
"Melbourne 2-Piece Bumper Chaise Sectional (116""–126"")",https://www.westelm.com/products/melbourne-2-piece-bumper-chaise-sectional-h11156/?pkey=csectionals,"3,228.30","5,398","images/Melbourne_2-Piece_Bumper_Chaise_Sectional_(116""–126"").jpg","Performance Yarn Dyed Linen Weave, Alabaster, Performance Yarn Dyed Linen Weave, Pewter, Performance Yarn Dyed Linen Weave, Graphite, Performance Yarn Dyed Linen Weave, Frost Gray"
"Harmony Modular 4-Piece Sectional (122"")",https://www.westelm.com/products/harmony-modular-4-piece-sectional-h6271/?pkey=csectionals,"3,524.95","7,296","images/Harmony_Modular_4-Piece_Sectional_(122"").jpg","Performance Yarn Dyed Linen Weave, Alabaster, Performance Yarn Dyed Linen Weave, Pewter, Performance Yarn Dyed Linen Weave, Graphite, Performance Yarn Dyed Linen Weave, Frost Gray"
"Dennes Leather 2-Piece Chaise Sectional (102"")",https://www.westelm.com/products/dennes-leather-2-piece-chaise-sectional-h6781/?pkey=csectionals,"2,515.15","3,899","images/Dennes_Leather_2-Piece_Chaise_Sectional_(102"").jpg","Ludlow Leather, Gray Smoke, Charme Leather, Oxblood, Charme Leather, Mocha, Charme Leather, Cigar"
"Shelter Motion Reclining 3-Piece Reversible Chaise Sectional (102"")",https://www.westelm.com/products/shelter-motion-3-piece-reversible-chaise-sectional-h12014/?pkey=csectionals,"3,295","4,695","images/Shelter_Motion_Reclining_3-Piece_Reversible_Chaise_Sectional_(102"").jpg","Performance Yarn Dyed Linen Weave, Alabaster, Performance Yarn Dyed Linen Weave, Frost Gray, Yarn Dyed Linen Weave, Graphite, Performance Coastal Linen, White"
"Harmony 3-Piece L-Shaped Sectional (112""–123"")",https://www.westelm.com/products/harmony-l-shaped-sectional-h2507/?pkey=csectionals,"4,332.45","9,198","images/Harmony_3-Piece_L-Shaped_Sectional_(112""–123"").jpg","Performance Yarn Dyed Linen Weave, Alabaster, Performance Yarn Dyed Linen Weave, Pewter, Performance Yarn Dyed Linen Weave, Graphite, Performance Yarn Dyed Linen Weave, Frost Gray"
"Harris 3-Piece L-Shaped Sectional (101""–115"")",https://www.westelm.com/products/harris-3-piece-l-shaped-sectional-h4617/?pkey=csectionals,"3,099.95","4,747","images/Harris_3-Piece_L-Shaped_Sectional_(101""–115"").jpg","Performance Yarn Dyed Linen Weave, Alabaster, Performance Yarn Dyed Linen Weave, Pewter, Performance Yarn Dyed Linen Weave, Graphite, Performance Yarn Dyed Linen Weave, Frost Gray"
