Title,Price,Link,Image Path,Colors
"Burgundy Rubber Tree, Buy a Burgundy Rubber Tree indoor plant with 5 pot color options. Shipped straight to your door. 30-Day Guarantee plus expert plant care support.",$99,https://bloomscape.com/product/burgundy-rubber-tree-lg/,images/burgundyrubbertree.jpg,"Stone, Clay, Charcoal, Slate, Indigo"
"Money Tree Forest, Buy a Money Tree Forest indoor plant with 5 pot color options. Shipped straight to your door. 30-Day Guarantee plus expert plant care support.",$89,https://bloomscape.com/product/money-tree-forest/,https://bloomscape.com/wp-content/uploads/2020/10/bloomscape_money-tree-forest_stone-e1667582350473-324x389.jpg?ver=313689,"Stone, Clay, Charcoal, Slate, Indigo"
"Mister, Provide your plants with humidity using the Mossify Mistr, an automatic continuous mister perfect for indoor houseplant care",$50,https://bloomscape.com/product/mister/,https://bloomscape.com/wp-content/uploads/2021/07/bloomscape_mister_in-use-324x384.jpg?ver=559531,
"Eureka Lemon Tree, Buy the Eureka Lemon Tree pre-potted in a stone pot. Shipped straight to your door. 30-Day Guarantee plus expert plant care support.",$79,https://bloomscape.com/product/eureka-lemon-tree/,https://bloomscape.com/wp-content/uploads/2023/06/230618_bloomscape_lemon_trees_0020-e1688416670818-324x389.jpg?ver=1046185,
"Variegated Pink Lemon Tree, Buy the Variegated Pink Lemon Tree pre-potted in a stone pot. Shipped straight to your door. 30-Day Guarantee plus expert plant care support.",$79,https://bloomscape.com/product/variegated-pink-lemon-tree/,https://bloomscape.com/wp-content/uploads/2023/06/230618_bloomscape_lemon_trees_0027-1-e1688415704637-324x389.jpg?ver=1046177,
"Monstera, Buy a Monstera Deliciosa indoor plant with 5 pot color options and get free delivery. 30-Day Guarantee on all plants, plus expert plant care support.",$169,https://bloomscape.com/product/monstera/,images/monstera.jpg,"Stone, Clay, Charcoal, Slate, Indigo"
"ZZ Plant, Buy an indoor ZZ Plant with 5 pot color options. Shipped straight to your door. 30-Day Guarantee plus expert plant care support.",$149,https://bloomscape.com/product/zz-plant/,https://bloomscape.com/wp-content/uploads/2020/08/bloomscape_zz-plant_charcoal-e1625251444532-324x389.jpg?ver=279472,"Stone, Clay, Charcoal, Slate, Indigo"
"Red Anthurium, Buy an Anthurium Red indoor plant with 5 pot color options. Shipped straight to your door. 30-Day Guarantee plus expert plant care support.",$49,https://bloomscape.com/product/red-anthurium/,images/redanthurium.jpg,"Stone, Charcoal, Slate, Indigo"
"Tough Stuff Collection, Hand-selected set of 3 easy, adaptable plants. Whether you’re starting your plant family or adding to it, these are perfect for your bookshelf, mantle, or in hangers.",$79,https://bloomscape.com/product/tough-stuff-collection/,https://bloomscape.com/wp-content/uploads/2022/07/bloomscape_tough-stuff-collection_taupe-324x389.jpg?ver=916047,"Taupe, Charcoal, White"
"Whale Fin Sansevieria, Buy a Whale Fin Sansevieria indoor plant with 5 pot color options. Shipped straight to your door. 30-Day Guarantee plus expert plant care support.",$79,https://bloomscape.com/product/whale-fin-sansevieria/,https://bloomscape.com/wp-content/uploads/2021/12/Bloomscape_SansevieriaMasoniana_medium_Indigo-scaled-324x405.jpg?ver=640201,"Stone, Clay, Charcoal, Slate, Indigo"
"Easy Peasy Collection, Buy a potted Easy Peasy Collection including plants with 3 pot options. Shipped straight to your door. 30-Day Guarantee plus expert plant care support.",$79,https://bloomscape.com/product/easy-peasy-collection/,https://bloomscape.com/wp-content/uploads/2022/10/bloomscape_easy-peasy-collection_xs_white-324x389.jpg?ver=955342,"Taupe, Charcoal, White"
"Ponytail Palm Tree, Buy a Ponytail Palm Tree indoor plant with 5 pot color options. Shipped straight to your door. 30-Day Guarantee plus expert plant care support.",$149,https://bloomscape.com/product/ponytail-palm-tree/,https://bloomscape.com/wp-content/uploads/2020/04/bloomscape_ponytail-palm-tree_v2_large_indigo-324x389.jpeg?ver=581665,"Stone, Clay, Charcoal, Slate, Indigo"
"Peace Lily, Buy a Peace Lily indoor plant with 5 pot color options. Shipped straight to your door. 30-Day Guarantee plus expert plant care support.",$69,https://bloomscape.com/product/peace-lily-md/,images/peacelily.jpg,"Stone, Clay, Charcoal, Slate, Indigo, White"
"ZZ Plant, Buy a ZZ Plant indoor houseplant with 5 pot color options. Shipped straight to your door. 30-Day Guarantee plus expert plant care support.",$69,https://bloomscape.com/product/zz-plant-medium/,https://bloomscape.com/wp-content/uploads/2022/01/bloomscape_wooden-plant-stool_acacia_zz-plant-324x389.jpg?ver=660139,"Stone, Clay, Charcoal, Slate, Indigo"
"Aglaonema Siam, Buy a Aglaonema Siam indoor plant with 5 pot color options. Shipped straight to your door. 30-Day Guarantee plus expert plant care support.",$49,https://bloomscape.com/product/aglaonema-siam/,https://bloomscape.com/wp-content/uploads/2023/03/bloomscape_aglaonema-siam_small_slate-with-glass-e1702584841749-324x390.jpg?ver=1015097,"Stone, Charcoal, Slate, Indigo, White"
"Baltic Blue Pothos, Buy a Baltic Blue Pothos indoor plant with 5 pot color options. Shipped straight to your door. 30-Day Guarantee plus expert plant care support.",$79,https://bloomscape.com/product/baltic-blue-pothos/,images/balticbluepothos.jpg,"Stone, Clay, Charcoal, Slate, Indigo"
"ZZ Plant, Buy an indoor ZZ Plant with 5 pot color options. Shipped straight to your door. 30-Day Guarantee plus expert plant care support.",$149,https://bloomscape.com/product/zz-plant/,images/zzplant.jpg,"Stone, Clay, Charcoal, Slate, Indigo"
"Sansevieria, Buy a potted Snake Plant with 5 pot color options, shipped straight to your door. 30-Day Guarantee plus expert plant care support.",$149,https://bloomscape.com/product/sansevieria/,images/sansevieria.jpg,"Stone, Clay, Charcoal, Slate, Indigo"
"Raven ZZ Plant, Buy a Raven ZZ Plant indoor plant with 5 pot color options. Shipped straight to your door. 30-Day Guarantee plus expert plant care support.",$79,https://bloomscape.com/product/raven-zz-plant/,https://bloomscape.com/wp-content/uploads/2022/09/bloomscape_zz-raven_md_plant-stool-324x389.jpg?ver=939607,"Stone, Clay, Charcoal, Slate, Indigo"
"Bromeliad Summer, Buy potted Bromeliad Summer, 5 pot color options. 30-Day Guarantee on all plants, plus expert plant care support.",$49,https://bloomscape.com/product/bromeliad-summer/,images/bromeliadsummer.jpg,"Stone, Charcoal, Slate, Indigo, White"
"Bromeliad Guzmania, Buy a Bromeliad Yellow indoor plant with 5 pot color options. Shipped straight to your door. 30-Day Guarantee plus expert plant care support.",$49,https://bloomscape.com/product/bromeliad-guzmania-yellow/,images/bromeliadguzmania.jpg,"Stone, Charcoal, Slate, Indigo"
"Money Tree, Buy a Money Tree indoor plant with 5 pot color options. Shipped straight to your door. 30-Day Guarantee plus expert plant care support.",$169,https://bloomscape.com/product/money-tree/,images/moneytree.jpg,"Stone, Clay, Charcoal, Slate, Indigo"
"Red Anthurium, Buy an Anthurium Red indoor plant with 5 pot color options. Shipped straight to your door. 30-Day Guarantee plus expert plant care support.",$49,https://bloomscape.com/product/red-anthurium/,images/redanthurium.jpg,"Stone, Charcoal, Slate, Indigo"
"Tough Stuff Collection, Hand-selected set of 3 easy, adaptable plants. Whether you’re starting your plant family or adding to it, these are perfect for your bookshelf, mantle, or in hangers.",$79,https://bloomscape.com/product/tough-stuff-collection/,https://bloomscape.com/wp-content/uploads/2022/07/bloomscape_tough-stuff-collection_taupe-324x389.jpg?ver=916047,"Taupe, Charcoal, White"
