Title,Description,Price Range,Link,Image Path,Colors
Title not found for product ID: No ID,Description not found,Price not found,/en/products/kohler-collections/studio-mcgee-collection/shop-castia-bath-faucet-and-accessory-collection,Image not found,
Composed™,Widespread bathroom sink faucets with lever handles,$574.80 - $919.69,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/composed-widespread-bathroom-sink-faucet-with-lever-handles-1-2-gpm-73060-4?skuId=73060-4-CP,kohler\K-73060-4-CP.jpg,"Polished Chrome,Vibrant Polished Nickel,Vibrant Titanium,Vibrant French Gold,Vibrant Brushed Moderne Brass,Vibrant Brushed Nickel,Vibrant Brushed Bronze"
Composed™,Widespread bathroom sink faucets with cross handles,$588.60 - $941.77,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/composed-widespread-bathroom-sink-faucet-with-cross-handles-73060-3?skuId=73060-3-CP,kohler\K-73060-3-CP.jpg,"Polished Chrome,Vibrant Polished Nickel,Vibrant Titanium,Vibrant French Gold,Vibrant Brushed Moderne Brass,Vibrant Brushed Nickel,Vibrant Brushed Bronze"
Simplice™,Widespread bathroom sink faucets with lever handles,$281.25 - $379.69,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/simplice-widespread-bathroom-sink-faucet-1-0-gpm-27390-4k?skuId=27390-4K-CP,kohler\K-27390-4K-CP.jpg,"Polished Chrome,Vibrant Brushed Nickel,Matte Black"
Honesty™,Widespread bathroom sink faucets with lever handles,$401.36 - $582.00,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/honesty-widespread-bathroom-sink-faucet-23255-4?skuId=23255-4-CP,kohler\K-23255-4-CP.jpg,"Polished Chrome,Vibrant Brushed Moderne Brass,Vibrant Brushed Nickel,Matte Black"
Avid™,Widespread bathroom sink faucets with lever handles,$487.69 - $707.17,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/avid-widespread-bathroom-sink-faucet-97352-4k?skuId=97352-4K-CP,kohler\K-97352-4K-CP.jpg,"Polished Chrome,Vibrant Brushed Moderne Brass,Vibrant Brushed Nickel,Matte Black"
Alteo™,Widespread bathroom sink faucets with lever handles,$333.82 - $450.67,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/alteo-widespread-bathroom-sink-faucet-45102-4?skuId=45102-4-CP,kohler\K-45102-4-CP.jpg,"Polished Chrome,Vibrant Brushed Nickel"
Bancroft™,Widespread bathroom sink faucets with lever handles,$458.25 - $618.64,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/bancroft-widespread-bathroom-sink-faucet-with-metal-lever-handles-10577-4?skuId=10577-4-CP,kohler\K-10577-4-CP.jpg,"Polished Chrome,Vibrant Polished Nickel,Vibrant Brushed Nickel"
Bellera™,Widespread bathroom sink faucets with lever handles,$281.25 - $407.81,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/bellera-widespread-bathroom-sink-faucet-1-0-gpm-27380-4k?skuId=27380-4K-CP,kohler\K-27380-4K-CP.jpg,"Polished Chrome,Vibrant Brushed Nickel,Oil-Rubbed Bronze"
Margaux™,Widespread bathroom sink faucets with lever handles,$581.14 - $842.66,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/margaux-widespread-bathroom-sink-faucet-with-lever-handles-16232-4?skuId=16232-4-AF,kohler\K-16232-4-CP.jpg,"Polished Chrome,Vibrant Polished Nickel,Vibrant French Gold,Vibrant Brushed Nickel,Vibrant Brushed Bronze"
